Product Name,Price,Rating
"Redmi 8 (Sapphire Blue, 64 GB)","₹7,999",4.5
"Redmi 8A (Ocean Blue, 32 GB)","₹6,999",4.4
"Redmi 8 (Ruby Red, 64 GB)","₹7,999",4.5
"Redmi Note 7S (Sapphire Blue, 64 GB)","₹10,999",4.4
"Realme 3i (Diamond Blue, 32 GB)","₹7,999",4.4
"Realme 3i (Diamond Blue, 64 GB)","₹9,999",4.4
"Realme 3i (Diamond Red, 64 GB)","₹9,999",4.4
"Realme 3i (Diamond Black, 64 GB)","₹9,999",4.4
"Realme 3i (Diamond Black, 32 GB)","₹7,999",4.4
"Realme 5 (Crystal Purple, 32 GB)","₹8,999",4.5
"Realme 5 (Crystal Blue, 32 GB)","₹8,999",4.5
"Realme 5 (Crystal Purple, 128 GB)","₹10,999",4.4
"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
Detel D1 Guru,₹649,3.7
"Realme C2 (Diamond Blue, 32 GB)","₹7,499",4.3
"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
Niamia Cad V,₹999,3.5
"Redmi Note 7S (Onyx Black, 64 GB)","₹10,999",4.4
"Redmi 8A (Sunset Red, 32 GB)","₹6,999",4.4
"Realme XT (Pearl Blue, 64 GB)","₹15,999",4.5
Niamia Cad V Combo of Two Mobiles,"₹1,749",4
